Название,Ссылка,Цена,Тип продукта,Страна,Содержание сахара,Цвет,Регион,"Объем, л",Сорт винограда,Классификация,Крепость,Бренд,Рейтинги,Аромат,Вкус,Способ производства,Гастрономия,Награды,Интересные факты,Философия производства,Год,Подарочная упаковка,Состав,Кислотность,Vivino
"Domaine Michaut Chablis, AOP Chablis",https://verigo.ru/product/domaine-michaut-chablis-aop-chablis,6 040 ₽,Вино,Франция,сухое,"Цвет бледно-желтый, прозрачный и блестящий.",Бургундия,"0,75",Шардоне,AOP Chablis,13%,Domaine Michaut,vivino 3.8,"Выразительный нос из белых фруктов с приятной минерализацией, обеспечивающей сложность.","Вкус выраженный, с замечательным балансом и лимонным и свежим послевкусием.",Традиционная винификация. вина выдерживаются на тонком осадке в течение 9 месяцев в резервуарах из нержавеющей стали .,"Идеально сочетается с блюдами средиземноморской кухни, белым мясом, рыбой и сыром.",,,,,,,,
"Domaine Michaut Chablis Premier Cru Vaucoupin, AOP Chablis",https://verigo.ru/product/domaine-michaut-chablis-premier-cru-vaucoupin-aop-chablis,7 840 ₽,Вино,Франция,сухое,Прозрачный бледно-золотистый цвет с зелеными отражениями.,Бургундия,"0,75",Шардоне,AOP Chablis,13%,Domaine Michaut,vivino 3.9,"С преобладанием минеральных ощущений, цитрусовые и белые цветы приносят сложность и тонкость.","Типичный для вин Grand Chablis, рот очень выраженный, минеральный и кристаллический.","Традиционная винификация. Спиртовое брожение происходит в резервуарах из нержавеющей стали, терморегулируемых при 16°С.","Идеально сочетается с блюдами средиземноморской кухни, белым мясом, рыбой и сыром.",,,,,,,,
"Domaines Edmond de Rothschild Les Granges, AOC Haut-Medoc",https://verigo.ru/product/chateau-tour-saint-martin-aop-medoc,4 240 ₽,Вино,Франция,сухое,Глубокого фиолетово-гранатового цвета.,Бордо,"0,75",Каберне Совиньон; Мерло,AOC Haut-Medoc,14%,Edmond de Rothschild,,"Утончённый аромат спелых фруктов и ягод: ежевики, черноплодной рябины, сливы, черешни. Табачный лист и карамель открываются после кратковременной аэрации вина.","Элегантное во вкусе с бархатистыми танинами. Кофе, черная смородина, ваниль, корица, специи и длительное джемовое послевкусие.",Традиционная ферментация в стали. Выдержка в барриках (второго использования) и стальных ёмкостях в течение 12 месяцев.,"Отлично сочетается с мясом на гриле, бифштексом и люля-кебаб, сырами.",,"Виноградники в на юге О-Медока в Мулис и Листрак, которые с XII века, принадлежали монахам-цистерианцам, в 1973 году приобрёл известный потомственный винодел барон Эдмонд де Ротшлильд. Пять стрел на эмблеме вина символизируют пять братьев, сыновей Майера Амшеля Ротшильда – основателя династии предпринимателей этой семьи.",,,,,,
"Domaines Edmond de Rothschild Les Lauriers,  AOP Montagne-Saint-Emilion",https://verigo.ru/product/domaines-edmond-de-rothschild-les-granges-aoc-haut-medoc,4 480 ₽,Вино,Франция,сухое,Глубокого гранатового цвета.,Бордо,"0,75",Каберне Фран; Мерло,AOP Montagne-Saint-Emilion,14%,Edmond de Rothschild,,"В бокале раскрываются ароматы красных фруктов, подчёркнутые едва уловимым оттенком обожжённого дерева, сушёных трав и нотами лакрицы и ванили.","Хорошо структурированное вино со вкусом красной спелой вишни, специй, кедрового ореха и инжира. Длительное послевкусие с нотками вишнёвой косточки и лакрицы.",Традиционная ферментация в стали. Выдержка в барриках (2/3 кюве – новые бочки) и стальных ёмкостях в течение 12 месяцев.,"Отлично сочетается с мясом на гриле, лобстером, сырами, а также с запечённой уткой.",,"«Les Lauriers» - очередное прекрасное творение семьи Ротшильдов, потомственных предпринимателей, которое производится в одном из городков-спутников Сент-Эмильона, Монтань-Сент-Эмильон. Виноградники для производства этого вина располагаются на склонах южной экспозиции на глинисто-известняковых почвах, которые идеально подходят для выражения сорта мерло.",,,,,,
"Dusky Sounds Sauvignon Blanc, Marlborough",https://verigo.ru/product/daski-saunds-sovinon-blan,2 420 ₽,Вино,Новая Зеландия,сухое,Цвет бледно-лимонный.,Мальборо,"0,75",Совиньон Блан,Marlborough,"12,5%",Dusky Sounds,vivino 4.0,"В аромате ноты свежего грейпфрута, гуавы и крапивы.",Вкус свежий с концентрированными фруктовыми оттенками. Нотки грейпфрута и тропических фруктов идеально сочетаются с деликатной кислинкой.,После сбора урожая ягоды подвергаются измельчению с последующей ферментацией в резервуарах из нержавеющей стали при контролируемой температуре.,,,,,,,,,
EnjOy it,https://verigo.ru/product/endzhoy-it,990 ₽,Безалкогольное вино; Игристое вино,Германия,сладкое,Светло-золотистого цвета с жемчужными отблесками.,,"0,75",Шардоне,,"0,5%",EnjOy it,,"Нежный фруктовый аромат с нотками лимона, груши, полевых цветов и зелёного яблока.","Освежающее, с оттенками спелых яблок и трав, а также лёгкой кислинкой в послевкусии.",Процесс деалкоголизации происходит методом вытягивания алкоголя в вакууме под низким давлением.,"Дополнит десерты, такие как мороженое с кусочком манго и ягодный торт.",,"EnjOy it – освежающее игристое вино, в котором отчётливо читается сорт шардоне. Благодаря самому «безобидному» методу избавления от алкоголя в вакууме, большая часть ароматических оттенков сохранилась.",,,,,,
EnjOy it Chardonnay,https://verigo.ru/product/enjoy-it-chardonnay,950 ₽,Безалкогольное вино,Германия,полусладкое,Вино соломенно-золотистого цвета.,,"0,75",Шардоне,,"0,5%",EnjOy it,,Освежающий аромат вина раскрывается оттенками желтого яблока и персика.,"Свежий, приятный вкус с фруктово-цветочными оттенками и приятной сладостью в послевкусии.",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Вино достаточно универсально, оно отлично дополнит легкие блюда из рыбы, морепродуктов, птицы или фруктов, закуски и салаты.",,,,,,,,
EnjOy it Merlot,https://verigo.ru/product/endzhoy-it-merlo,950 ₽,Безалкогольное вино,Германия,полусладкое,Вино рубиново-красного цвета.,,"0,75",Мерло,,"0,5%",EnjOy it,,"Гармоничный аромат с доминирующими оттенками вишни, сливы и пряностей.","Вкус вина округлый, мягкий, шелковистый, с фруктовыми оттенками и приятной сладостью в послевкусии.",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,Вино достаточно универсально и подойдет к различным легким блюдам и закускам.,,,,,,,,
"Entresuelos, VdT Castillia y Leon",https://verigo.ru/product/entresuelos-vdt-castillia-y-leon,2 820 ₽,Вино,Испания,сухое,Вино очень глубокого красно-вишневого цвета. .,Кастилья и Леон,"0,75",Темпранильо,VdT Castillia y Leon,"14,5%",Gil Family Estates,vivino 3.7,"Букет вина многогранный, с фруктовыми нотами и шоколадными нюансами.","Богатое и полнотелое, с нотами жареных специй и ароматами черничного джема тонами графита и эспрессо. Приятное шоколадное послевкусие.",Выдержка 6 месяцев в бочках из французского дуба,"Вино составит отличную пару макаронным изделиям (лапша, спагетти и др.), овощам, грибам, мясу, колбасам, свинине, белому мясу под соусом, мясу на гриле и сырам.",,,,,,,,
"Fernway Sauvignon Blanc, Marlborough",https://verigo.ru/product/fernway-sauvignon-blanc-marlborough,2 230 ₽,Вино,Новая Зеландия,сухое,Светло-лимонного цвета.,Мальборо,"0,75",Совиньон Блан,Marlborough,"12,5%",Fernway,vivino 4.0,"В аромате переплетаются нотки крапивы, болгарского перца, гуавы, чёрной смородины, манго и свежескошенной травы.",Освежающий вкус с интенсивными фруктовыми оттенками. Нотки грейпфрута и тропических фруктов идеально сочетаются с деликатной кислинкой. Длительное послевкусие с оттенками киви и листа помидора.,Холодная мацерация перед брожением. Традиционная ферментация в стали с непродолжительной выдержкой в бутылке.,"Подойдёт к азиатской кухне, собе с курицей, карри, а также к фруктовым салатам и сибасу с лимоном.",,"Название вина «Fernway» переводится как «тоска по дальним путешествиям», потому что именно во время очередной поездки, легендарному Эндрю Бэйли пришла идея самому производить вина в Новой Зеландии.",,,,,,
"Filippe Michel Chardonnay, Cremant du Jura AOP",https://verigo.ru/product/filippe-michel-chardonnay-cremant-du-jura-aop,3 590 ₽,Игристое вино,Франция,брют,Золотистого цвета со стройным перляжем.,Жюра,"0,75",Шардоне,,12%,Maison du Vigneron,,"Интенсивный фруктовый аромат с оттенками зелёного яблока и свежей булочки. Эвкалипт, ментол звучат вторыми голосами.","Элегантное вино с свежей кислотностью и лёгкой покалывающей игрой пузырьков. Во вкусе раскрывается нюансами цветов, дыни и апельсиновой цедры. Длительное послевкусие с нотками миндаля.","Ручной сбор, ферментация в стальных ёмкостях при температуре 18°C.Традиционный способ производства игристых вин с выдержкой в бутылке на осадке минимум 12 месяцев.","Превосходный аперитив. Подойдёт блюдам из нежного белого мяса, а также морепродуктам в сливочно-лимонном соусе.",Серебряная медаль – International Challenge 2015,"Площадь виноградников Жюры составляет всего 1800 га, что делает его самым маленьким винодельческим регионом Франции.Жюра традиционно славится уникальными жёлтыми (Vin Jaune) и соломенными (Vin de Paille) винами.",,,,,,
"Flor de Morca, DO Campo de Borja",https://verigo.ru/product/flor-de-morca-do-campo-de-borja,2 820 ₽,Вино,Испания,сухое,Вино красивого фиолетового цвета .,Арагон,"0,75",Гарнача,DO Campo de Borja,15%,Gil Family Estates,,"Букет вина многогранный, фруктовый","Богатый и утонченный вкус с нотами ежевики, черники и сливы, минералов, мокко и специй, окантованных темным шоколадом , лакрицей и молотым перцем.",Гарнача с небольших участков с низкой урожайностью ферментируется в отдельных чанах Выдержка 6 месяцев в бочках из французского дуба.,"Идеально сочетается с рисом, пастой, овощами, грибами, тушеным мясом в соусе, мясом на гриле, сырами",,,,,,,,
"Franciacorta Rose Santa Lucia, DOCG Franciacorta",https://verigo.ru/product/franciacorta-rose-santa-lucia-docg-franciacorta,6 850 ₽,Игристое вино,Италия,брют,Блестящий светло-розовый цвет с благородным тонким перляжем.,Ломбардия,"0,75",Пино Неро; Шардоне,DOCG Franciacorta,13%,Santa Lucia,vivino 3.8,"В аромате раскрываются нотки персика, хлебных тостов, белой земляники и грейпфрута.","Насыщенный вкус. Земляника со сливками, курага и изюм. Освежающее, элегантное и идеально сбалансированное и ноткой малиновой пенки от варенья в послевкусии.","Ручной сбор, мягкое прессование, ферментация в стальных ёмкостях при температуре 16° C. Раздельная винификация с каждого виноградника с последующим ассамблированием. Выдержка на осадке составляет минимум 24 месяца.","Вино отлично сочетается с моллюсками, и блюдами из белого мяса. Также интересны сочетания с десертами на основе ягод и средне-горького шоколада.",,"Сбор винограда для этого кюве происходит с 15 виноградников. Средний возраст лоз – 10 лет. По регламенту региона минимальная выдержка франчакорты на осадке на три месяца дольше, чем в Шампани.",органика,,,,,
"Franciacorta Santa Lucia, DOCG Franciacorta",https://verigo.ru/product/franciacorta-santa-lucia-docg-lombardy,5 990 ₽,Игристое вино,Италия,брют,Бледно-золотистый цвет с тонким и стройным перляжем.,Ломбардия,"0,75",Пино Неро; Шардоне,DOCG Franciacorta,13%,Santa Lucia,,"Тонкий и нежный аромат белого персика, свежего багета и лайма с оттенками тёплого сена и нотками хлебных тостов с цукатами.","Элегантное легчайшее вино с округлой текстурой и освежающей яркой кислотностью. Брусничные, крыжовниковые нотки и цедра лимона. Длительное сливочное послевкусие с цветочными нотками.","Сбор урожая начинается в августе. Мягкое прессование, ферментация в стальных ёмкостях при температуре 16° C. Раздельная винификация с каждого виноградника с последующим ассамблированием. Выдержка на осадке  около 18 месяцев.","Прекрасно дополнит дораду на гриле, устрицы с лимоном и овощной салат.",,"Сбор винограда для этого кюве происходит с 15 виноградников. Средний возраст лоз – 10 лет. По регламенту региона минимальная выдержка франчакорты на осадке на три месяца дольше, чем в Шампани.",органика,,,,,
"Franciacorta Santa Lucia, DOCG Franciacorta",https://verigo.ru/product/franciacorta-santa-lucia-docg-franciacorta,12 590 ₽,Игристое вино,Италия,брют,Бледно-золотистый цвет с тонким и стройным перляжем.,Ломбардия,"1,5",Пино Неро; Шардоне,DOCG Franciacorta,13%,Santa Lucia,,"Тонкий и нежный аромат белого персика, свежего багета и лайма с оттенками тёплого сена и нотками хлебных тостов с цукатами.","Элегантное легчайшее вино с округлой текстурой и освежающей яркой кислотностью. Брусничные, крыжовниковые нотки и цедра лимона. Длительное сливочное послевкусие с цветочными нотками.","Сбор урожая начинается в августе. Мягкое прессование, ферментация в стальных ёмкостях при температуре 16° C. Раздельная винификация с каждого виноградника с последующим ассамблированием. Выдержка на осадке  около 18 месяцев.","Прекрасно дополнит дораду на гриле, устрицы с лимоном и овощной салат.",,"Сбор винограда для этого кюве происходит с 15 виноградников. Средний возраст лоз – 10 лет. По регламенту региона минимальная выдержка франчакорты на осадке на три месяца дольше, чем в Шампани.",органика,,,,,
"Franciacorta Santa Lucia, DOCG Franciacorta",https://verigo.ru/product/franciacorta-santa-lucia-docg-franciacorta-2,49 310 ₽,Игристое вино,Италия,брют,Бледно-золотистый цвет с тонким и стройным перляжем.,Ломбардия,3,Пино Неро; Шардоне,DOCG Franciacorta,13%,Santa Lucia,,"Тонкий и нежный аромат белого персика, свежего багета и лайма с оттенками тёплого сена и нотками хлебных тостов с цукатами.","Элегантное легчайшее вино с округлой текстурой и освежающей яркой кислотностью. Брусничные, крыжовниковые нотки и цедра лимона. Длительное сливочное послевкусие с цветочными нотками.","Сбор урожая начинается в августе. Мягкое прессование, ферментация в стальных ёмкостях при температуре 16° C. Раздельная винификация с каждого виноградника с последующим ассамблированием. Выдержка на осадке  около 18 месяцев.","Прекрасно дополнит дораду на гриле, устрицы с лимоном и овощной салат.",,"Сбор винограда для этого кюве происходит с 15 виноградников. Средний возраст лоз – 10 лет. По регламенту региона минимальная выдержка франчакорты на осадке на три месяца дольше, чем в Шампани.",органика,,деревянный короб,,,
"Franciacorta Santa Lucia Millesimato, DOCG Franciacorta",https://verigo.ru/product/franciacorta-santa-lucia-millesimato-docg-franciacorta,8 330 ₽,Игристое вино,Италия,экстра брют,Блестящий светло-жёлтый цвет с устойчивым перляжем,Ломбардия,"0,75",Пино Неро; Шардоне,DOCG Franciacorta,13%,Santa Lucia,,"В аромате раскрываются нотки печёного яблока, мармелада, зрелого абрикоса с изящными сливочными и хлебными оттенками.",Элегантное комплексное вино с кремовой текстурой и живой кислинкой. Гладкий вкус с оттенками зелёного яблока и белой смородины. Длительное  послевкусие с оттенками цукатов и мёда.,"Ручной сбор, мягкое прессование, ферментация в стальных ёмкостях при температуре 16° C. Раздельная винификация с каждого виноградника с последующим ассамблированием. Выдержка на осадке составляет минимум 30 месяцев.","Прекрасно сочетается с легкими мясными закусками, с блюдами из белого мяса, птицы, морепродуктами и сырами.",,"Винтажная элегантная франчакорта с отсутствием сахара в дозажном ликёре. Сбор винограда для этого кюве происходит с 15 виноградников. Средний возраст лоз – 10 лет. По регламенту региона минимальная выдержка франчакорты на осадке на три месяца дольше, чем в Шампани.",органика,,,,,
"Franciacorta Santa Lucia Saten, DOCG Franciacorta",https://verigo.ru/product/franciacorta-santa-lucia-saten-docg-franciacorta,6 680 ₽,Игристое вино,Италия,брют,Золотисто-соломенный цвет с деликатным перляжем.,Ломбардия,"0,75",Шардоне,DOCG Franciacorta,13%,Santa Lucia,vivino 3.8,"В аромате раскрываются нотки жёлтого яблока, айвы и лимонной цедры.","Живой вкус с оттенками зелёного яблока, бузины, восточных сладостей, яркой кислотностью и кремовой текстурой. В послевкусии можно ощутить приятную горчинку с ноткой миндаля.","Сбор урожая начинается в августе. Мягкое прессование, ферментация в стальных ёмкостях при температуре 16° C. Выдержка на осадке составляет 24 месяца.","Превосходно в качестве аперитива, в сочетании с рыбными закусками, пастой с рыбой или овощным соусом, моллюсками.",,"Сатен – это вид франчакорты, который производится только из белых сортов (блан де блан). Созвучное с итальянским словом «seta», «сатен» означает «шёлковый», что отражается во вкусе. При вторичной ферментации в вино добавляют меньше сахара  в тиражный ликер по сравнению с брютом, поэтому вино обладает характерной утончённостью и кремовой текстурой, а также более низким давлением в бутылке.",органика,,,,,
"Fritz Walter Grauer Burgunder, QbA Pfalz",https://verigo.ru/product/fritts-valter-grauer-burgunder,2 450 ₽,Вино,Германия,сухое,Вино золотисто-желтого цвета.,Пфальц,"0,75",Пино Гри,QbA Pfalz,"12,5%",Fritz Walter,vivino 3.9,"Приятный, сладковатый аромат слив и яблок сорта Мелроуз.",Вкус с пикантными фруктовыми нотами слив и зимних яблок характеризуется обольстительным богатством оттенков и ярко выраженной свежестью.,,"Вино хорошо дополнит блюда из рыбы, а также оттенит вкус легкого сыра и молочного шоколада.",,,,,,,,
"Fritz Walter Riesling, QbA Pfalz",https://verigo.ru/product/fritts-valter-risling,2 450 ₽,Вино,Германия,сухое,Блестящего светло-соломенного цвета.,Пфальц,"0,75",Рислинг,QbA Pfalz,"12,5%",Fritz Walter,,"Прекрасный фруктовый аромат сочных персиков и специй. Апельсин, лимонная цедра и нотка миндаля гармонично интегрированы в ароматическую палитру.","Мягкий и деликатный вкус, среднетелое, с неагрессивной кислотностью. Персик, жёлтая слива, зеленое яблоко и длительное послевкусие.","Холодная мацерация, ферментация в нержавеющей стали, малолактическая ферментация, частичная (20%) выдержка вина в старом дубе до 10 месяцев.","Идеально сочетается с уткой с яблоками, мясными фрикадельками и овощами на гриле.",,Регион Пфальц является самым южным и засушливым винодельческим регионом Германии. Сорт рислинг получает здесь особенное выражение – полнотелые вина с яркой ароматикой и умеренно сглаженной кислотностью.,,,,,,
"Fritz Walter Riesling Sekt, Sekt b.A Pfalz",https://verigo.ru/product/fritz-walter-riesling-sekt-sekt-ba-pfalz,3 740 ₽,Игристое вино,Германия,сухое,Вино красивого светло-желтого цвета.,Пфальц,"0,75",Рислинг,QbA Pfalz,12%,Fritz Walter,,Прекрасный фруктовый аромат летних сочных персиков и ягод.,"Очень сбалансированное, легкое и живое. Фруктовая кислинка придает свежесть  вкусу.",Выдержка на осадке в течение 9 месяцев.,"Идеально подходит для аперитива, прекрасно сочетается с легкими закусками, свежими сырами и белым мясом.",,,,,,,,
"Fritz Walter Rose Saigne, QbA Pfalz",https://verigo.ru/product/fritz-walter-rose-saigne-qba-pfalz,2 180 ₽,Вино,Германия,сухое,Вино нежно-розового цвета.,Пфальц,"0,75",Дорнфельдер; Каберне Фран; Сира,QbA Pfalz,12%,Fritz Walter,vivino 3.8,"Аромат нежный, свежий, с ягодно-фруктовыми оттенками.","Восхитительный сбалансированный вкус с выраженными фруктовыми оттенками, с отчетливым звучанием спелой вишни.",,"Идеально подходит для аперитива, прекрасно сочетается с легкими закусками, креветками и рыбой на гриле.",,,,,,,,
"Fritz Walter Spatburgunder, QbA Pfalz",https://verigo.ru/product/fritts-valter-shpetburgunder,2 890 ₽,Вино,Германия,сухое,Рубинового цвета.,Пфальц,"0,75",Пино Нуар,QbA Pfalz,"12,5%",Fritz Walter,,"Аромат спелого терновника, чернослива, лакрицы, хлебной корочки и засушенной травы.","Лёгкое тело, зрелые танины. Нотки чёрной сливы, черники, табака, и сладких специй во вкусе. Дымные оттенки на нёбе в продолжительном послевкусии.",Сбор винограда с тщательной селекцией. Ферментация в стали с последующей выдержкой 18 месяцев во французских и немецких бочках (2-4 использование) ёмкостью 500 литров.,"Идеально сочетается с бараниной, рататуем, стейком из тунца на гриле.",,"Шпэтбургундер – это немецкое название бургундского сорта пино нуар, предпочитающего прохладные климатические условия. Этот терруарный сорт винограда прекрасно проявляет свои индивидуальные черты на территории Германии, США, Новой Зеландии и стран Нового Света.",,,,,,
"Fritz Walter Wiesser Burgunder, QbA Pfalz",https://verigo.ru/product/fritts-valter-vaysser-burgunder,2 450 ₽,Вино,Германия,сухое,Вино светло-золотистого цвета.,Пфальц,"0,75",Пино Блан,QbA Pfalz,"12,5%",Fritz Walter,,Аромат насыщенный со сливочными мягкими оттенками груши и дикой ванили.,"Восхитительный сложный вкус, в котором цветочные оттенки, раскрываясь, переходят во фруктовые ноты яблок сорта Берлипш.",,"Идеально подходит для аперитива, прекрасно сочетается с легкими закусками, свежими сырами и белым мясом",,,,,,,,
"Gamay Noir, AOP Beaujolais",https://verigo.ru/product/gamay-noir-aop-beaujolais,2 550 ₽,Вино,Франция,сухое,Светло-рубинового блестящего цвета.,Бургундия,"0,75",Гаме,AOP Beaujolais,12%,Gamay Noir,,Деликатные нотки красных фруктов и пряных специй в аромате.,"Сбалансированный, бархатистый, хрустящий вкус с интенсивными фруктовыми ароматами,  бархатистые танины и гастрономическая кислотность создают запоминающееся ягодное послевкусие.","Полууглеродистая мацерация для усиления аромата, выдержка в течение 8 дней, алкогольная ферментация завершается при низкой температуре. Выдержка в чанах для сохранения ароматического потенциала.","Гастрономические сочетания:Идеально подходит в качестве аперитива, в сочетании с тапас и терринами, с бургером, мясом на гриле или фалафелем.. Рекомендуемая температура подачи -  14-16 °C",,,,,,,,
"Goccia d'oro Gewurztraminer, DOC Trentino",https://verigo.ru/product/goccia-doro-gewurztraminer-doc-trentino,4 840 ₽,Вино,Италия,полусухое,Золотисто-янтарного цвета.,Трентино-Альто-Адидже,"0,75",Гевюрцтраминер,DOC Trentino,"14,5%",Cantina di Trento,,"Восхитительный аромат лепестков розы, личи, ананаса, лайма и гвоздики.  Имбирные и дымные оттенки в сочетании с восточными специями.","Элегантное освежающее вино с округлой текстурой и сбалансированной кислотностью. Во вкусе можно ощутить нотки белого персика, лайма, пряностей. Длительное минеральное послевкусие.",Холодная мацерация перед брожением. Традиционная ферментация в стали при температуре 17-18°С. Выдержка на тонком осадке в течение нескольких недель.,"Прекрасно дополнит курицу карри, том ям, суши и блюда с лимонным соусом.",Luca Maroni – 96/100,"Goccia d'oro переводится с итальянского как «капля золота», намекая на яркий золотистый цвет этого гевюрцтраминера.Этот прихотливый сорт обладает розовой кожицей и настолько ароматен, что на слепой дегустации во Франции один из судей принял это вино за духи.",,2022,,,,
"Green Smart Cricket Gruner Veltliner, PDO Pannon",https://verigo.ru/product/grin-smart-kriket-gryuner-veltliner,1 580 ₽,Вино,Венгрия,сухое,Вино желто-золотистого цвета,Паннон,"0,75",Грюнер Вельтлинер,PDO Pannon,12%,Grasshopper,,"Очень свежее, с ароматами цитрусов и специй.","Легкое, фруктовое, с гладкой текстурой, цветочно-минеральными акцентами и утонченной кислинкой в сбалансированном послевкусии.",,"Идеально сочетается с блюдами средиземноморской кухни, белым мясом, рыбой и сыром.",,,,,,,,
"Guasti Barbaresco San Giuliano, DOCG Barbaresco",https://verigo.ru/product/guasti-barbaresco-san-giuliano-docg-barbaresco,6 190 ₽,Вино,Италия,сухое,Красивого рубинового цвета с гранатовым ободком.,Пьемонт,"0,75",Неббиоло,DOCG Barbaresco,14%,Guasti,JS 91; WE 88,"Богатый и сложный букет с ароматами чёрных ягод, клюквы, розы и фиалки, а также третичными нотками ванили и табака.","Элегантный вкус с бархатными танинами и яркой кислотностью. Нотки лесной черники, перца и лакрицы. Длительное пикантное послевкусие.",Ручной сбор и традиционная ферментация в стальных ёмкостях в течение 10 дней. После малолактики вино проводит 18 месяцев во французских дубовых бочках объёмом 3000 л.,"Прекрасно сочетается пернатой дичью, карпаччо и пастой с трюфелем.",Wine Enthusiast – 88/100 – 2020James Suckling – 91/100 – 2020Luca Maroni – 92/100 – 2020,"Барбареско – это культовые вина Пьемонта из сорта неббиоло, которые в отличие от Бароло обладают более мягкими танинами и более дружелюбны при употреблении в молодом возрасте.Виноградники располагаются в восточной коммуне зоны Барбареско – Неиве с крю Сан-Джуилано (San Giuliano). Возраст лоз составляет около 40 лет.",,2021,,,,
"Guasti Barbera d'Asti Desideria, DOCG Barbera d'Asti",https://verigo.ru/product/guasti-barbera-dasti-desideria-docg-barbera-dasti,2 370 ₽,Вино,Италия,сухое,Рубинового цвета средней интенсивности.,Пьемонт,"0,75",Барбера,Barbera d'Asti DOCG,"12,5%",Guasti,GR**; WE 89,"Многогранные ароматы сливы, чёрной смородины и вишни. Роза, пион и герань выступают вторыми голосами. Лёгкие нотки пряных трав.","Во вкусе – слива, клубника, лакрица, оттенки гальки после дождя. Среднетелое, танинное, с парящей структурой и поразительной гармонией вкусовых оттенков. Длительное цветочно-ягодное послевкусие.",Ручной сбор и традиционная ферментация в стальных ёмкостях в течение 10 дней. После малолактики вино выдерживают 6 месяцев в стали.,"Сопровождение к спагетти с томатной пастой, баклажанам пармиджано и лазанье.",Wine Enthusiast – 89/100 – 2023 (Best Buy)Gambero Rosso – Due Bicchieri – 2023Luca Maroni – 95/100 – 2022,"Название вина Desideria переводится с ит., как  «желание», намекая на сочность и яркость этого вина, побуждающего к лучшим свершениям.",,2023,,,,
"Guasti Barbera d'Asti Superiore Boschetto Vecchio, DOCG Barbera d'Asti",https://verigo.ru/product/Barbera-dAsti-Superiore-Boschetto,4 840 ₽,Вино,Италия,сухое,Интенсивного рубиново-гранатового цвета.,Пьемонт,"0,75",Барбера,Barbera d'Asti DOCG,"12,5%",Guasti,Decanter 90; WE 87,"Интенсивные нотки фиалки, красной розы гармонично переплетаются с оттенками вишни, малины и ежевики. Лёгкие табачные нюансы.","Идеальный баланс со сглаженными танинами и яркой кислотностью, округлое, минеральное и сложное. Вишнёвая косточка, черника, землистые и табачные тона. Невероятно длительное звонкое послевкусие.",Ручной сбор и традиционная ферментация в стальных ёмкостях в течение 10 дней. После малолактики вино проводит 18 месяцев в славонских дубовых бочках объёмом 6000 л и 6 месяцев в бутылке.,"Дополнит флорентийский стейк, филе миньон, спагетти Болоньезе.",Wine Enthusiast – 87/100 – 2019Decanter – 90/100 – 2020,"Вино производят с виноградника под названием Боскетто Веккио (Boschetto Vecchio) – с ит. «старая роща» – в зоне Ницца Монферрато (Nizza Monferrato). Возраст лоз составляет 80 лет!Этикетку вина создают вручную, начиная с 1946 года, когда впервые разлили это эксклюзивное вино, сохраняя традиции и секреты виноделия семьи Гуасти.",,2020,,,,
"Guasti Brachetto d'Acqui, DOCG Brachetto d'Acqui",https://verigo.ru/product/guasti-brachetto-dacqui-docg-brachetto-dacqui,3 490 ₽,Игристое вино,Италия,сладкое,Рубинового цвета средней интенсивности.,Пьемонт,"0,75",Бракетто,DOCG Brachetto d'Acqui,"6,5%",Guasti,,"В аромате переплетаются щедрые нотки свежей клубники и малины, а также цветочные нюансы фиалки, розы и герани.","Мягкий и нежный вкус с приятным покалыванием на языке и кремовым муссом. Малина, земляника и вишня на нёбе с фруктовым послевкусием.","Настаивание и ферментация сусла на кожице в течение недели. Вторичная ферментация по методу Шарма в автоклавах. При достижении 6-7 градусов брожение останавливается, и вино выдерживается в бутылках ещё не менее трёх месяцев.","Прекрасное сочетание со свежими фруктами, шербетом и клубничным мороженым.",,"Бракетто – местный сорт окрестностей Асти, который обладает высоким уровнем естественной сладости и низким алкоголем, благодаря чему из него получаются лёгкие фруктовые игристые вина. Преданным поклонником этого вина был один из самых известных персонажей итальянской комедии дель арте – Джандуйя (Gianduja da Gioan d'Laduja).",,2022,,,,
